source_id,target_id,target_type,relation_type,description
5/nh-tt,5/nh-tt_1,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_2,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_3,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_5,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_6,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_7,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_8,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_9,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_10,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_11,ARTICLE,CONTAIN,
89/nh-qđ,89/nh-qđ_1,ARTICLE,CONTAIN,
89/nh-qđ,89/nh-qđ_2,ARTICLE,CONTAIN,
89/nh-qđ,89/nh-qđ_3,ARTICLE,CONTAIN,
89/nh-qđ,89/nh-qđ_4,ARTICLE,CONTAIN,
125/nh-tt,125/nh-tt_1,ARTICLE,CONTAIN,
125/nh-tt,125/nh-tt_2,ARTICLE,CONTAIN,
125/nh-tt,125/nh-tt_3,ARTICLE,CONTAIN,
125/nh-tt,125/nh-tt_4,ARTICLE,CONTAIN,
222/nh-tt,222/nh-tt_1,ARTICLE,CONTAIN,
222/nh-tt,222/nh-tt_2,ARTICLE,CONTAIN,
222/nh-tt,222/nh-tt_4,ARTICLE,CONTAIN,
222/nh-tt,222/nh-tt_5,ARTICLE,CONTAIN,
222/nh-tt,222/nh-tt_6,ARTICLE,CONTAIN,
222/nh-tt,222/nh-tt_7,ARTICLE,CONTAIN,
222/nh-tt,222/nh-tt_8,ARTICLE,CONTAIN,
222/nh-tt,222/nh-tt_9,ARTICLE,CONTAIN,
159-nh/tt,159-nh/tt_1,ARTICLE,CONTAIN,
159-nh/tt,159-nh/tt_2,ARTICLE,CONTAIN,
159-nh/tt,159-nh/tt_3,ARTICLE,CONTAIN,
159-nh/tt,159-nh/tt_5,ARTICLE,CONTAIN,
159-nh/tt_5,146-NH/QĐ_5,ARTICLE,GUIDE,
5/nh-tt,5/nh-tt_1,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_2,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_3,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_4,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_5,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_6,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_7,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_8,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_9,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_10,ARTICLE,CONTAIN,
5/nh-tt,5/nh-tt_11,ARTICLE,CONTAIN,
89/nh-qđ,89/nh-qđ_1,ARTICLE,CONTAIN,
89/nh-qđ,89/nh-qđ_2,ARTICLE,CONTAIN,
89/nh-qđ,89/nh-qđ_3,ARTICLE,CONTAIN,
89/nh-qđ,89/nh-qđ_4,ARTICLE,CONTAIN,
125/nh-tt,125/nh-tt_1,ARTICLE,CONTAIN,
125/nh-tt,125/nh-tt_2,ARTICLE,CONTAIN,
125/nh-tt,125/nh-tt_3,ARTICLE,CONTAIN,
